1,camp,Mej trofeje 3 priser,Velky lov,spear-spear-spear,Zelena
1,camp,Mej trofeje 3 nemrtvych,Cisteni hrbitovu,hammer-hammer-hammer,Zluta
1,camp,Mej trofeje 3 carodeju,Hon na carodeje,sword-sword-sword,Modra
1,camp,Mej trofeje 3 demonu,Pro klid duse,bow-bow-bow,Cervena
1,camp,Zabij priseru pred i za sebou,Uvnitr smecky,spear-you-spear,Zelena
1,camp,Zabij nemrtve pred i za sebou,Doupe nemrtvych,hammer-you-hammer,Zluta
1,camp,Zabij carodeje pred i za sebou,Magicky rej,sword-you-sword,Modra
1,camp,Zabij demona pred i za sebou,Uprostred tlupy,bow-you-bow,Cervena
1,camp,Zabij 2 prisery v rade,Kral stada,you-spear-spear,Zelena
1,camp,Zabij 2 nemrtve v rade,Vyssi nemrtvy,you-hammer-hammer,Zluta
1,camp,Zabij 2 carodeje v rade,Carodejuv ucen,you-sword-sword,Modra
1,camp,Zabij 2 demony v rade,Posel demonu,you-bow-bow,Cervena
